"","coefficients.Estimate","coefficients.Std..Error","coefficients.z.value","coefficients.Pr...z.."
"opp_1_pos_z",5.41071346278084e-05,6.44176179278206e-05,0.839943114451002,0.400940282306103
"opp_1_vel_x",-9.83706179181227e-07,1.21347038560916e-06,-0.810655283266271,0.417563659643601
"opp_1_vel_y",5.12799131997137e-06,1.38015991362133e-06,3.71550518846494,0.000202798103673913
"opp_1_vel_z",-5.68069780677032e-05,4.69184421106494e-06,-12.1076010865266,9.62686249392222e-34
"opp_1_ang_vel_x",-2.31032486500177e-05,7.09375814443303e-06,-3.25684188544664,0.00112659168704888
"opp_1_ang_vel_y",5.60977253526259e-06,7.30467874342698e-06,0.767969781054432,0.442505138254971
"opp_1_ang_vel_z",4.61703013330353e-06,7.54168231249409e-06,0.612201620539575,0.540404369538303
"opp_1_rot_x",0.00544246391196442,0.0322864036278383,0.168568291925576,0.866136222975494
"opp_1_rot_y",0.00830402163116746,0.00807071022525269,1.02890841071022,0.303522715712031
"opp_1_rot_z",-0.000592108128723048,0.0135704643180204,-0.0436321200842612,0.9651976479452
"opp_2_pos_x",5.61605702743367e-06,7.30954359660379e-06,0.768318425522907,0.442298030616329
"opp_2_pos_y",-0.000171935278624728,6.76980344216514e-06,-25.3973811933511,2.69558617881154e-142
"opp_2_pos_z",0.000188132221888278,6.25619817838677e-05,3.0071333503823,0.00263724047519879
"opp_2_vel_x",9.25535525262689e-07,1.21083321521256e-06,0.764379035555458,0.444641398293015
"opp_2_vel_y",6.19976670757928e-06,1.38689774238975e-06,4.47024068039547,7.81316241104722e-06
"opp_2_vel_z",-5.02587608996671e-05,4.59611102388967e-06,-10.9350624122072,7.83520493967367e-28
"opp_2_ang_vel_x",-2.64859632449186e-05,7.12400607398466e-06,-3.71784680836245,0.000200928045444705
"opp_2_ang_vel_y",-7.87195184469925e-07,7.32221436820955e-06,-0.107507803634874,0.914386134799337
"opp_2_ang_vel_z",-9.26769786498786e-06,7.51229725040736e-06,-1.23367028168185,0.217325792170479
"opp_2_rot_x",0.0312700893929725,0.0316767362569236,0.987162602212145,0.323562932132861
"opp_2_rot_y",0.00481806786688465,0.00797443567940246,0.604189194143161,0.54571786432785
"opp_2_rot_z",-0.00427519594074841,0.0135875512913644,-0.314640647830747,0.753034512981495
"shot_taker_boost_activeTrue",0.076354914176357,0.0228390152851532,3.34317890780486,0.000828244830317431
"logDistanceToGoal",-0.550036841306361,0.0337873926208129,-16.279351516682,1.38327007639964e-59
"distanceToOpp1",-0.000118453039451695,8.35110989621779e-06,-14.1841073730023,1.14918679372478e-45
"distanceToOpp2",-9.78527941806685e-05,8.20253135184329e-06,-11.9295849029189,8.29862625018651e-33
"distanceToTeam",-1.40473799468323e-05,6.53086378615487e-06,-2.15092220673965,0.0314823404321836
"cos_theta_opp_1",2845037.71938355,163279.84316535,17.424304581812,5.39604780305569e-68
"cos_theta_opp_2",3397013.71839244,169048.16330699,20.0949460315844,8.17033069423678e-90
